Type,Public
Revenue,US$79.59 billion (2018)[3]
Operating income, US$13.21 billion (2018)[3]
Net income, US$8.72 billion (2018)[3]
Total assets, US$123.38 billion (2018)[3]
Total equity, US$16.79 billion (2018)[3]
Number of employees,"350,600 (2018)[4]"
